03,January,2021
rank,name,perc1hour,price,volume
164,JUST,0.72%,$0.0265,"$116,230,825.86"
165,OriginTrail,-1.40%,$0.1694,"$509,536.81"
166,Harmony,0.09%,$0.006843,"$9,979,795.87"
167,Polymath,0.45%,$0.1002,"$4,869,498.29"
168,TrustSwap,2.69%,$0.7567,"$1,580,139.30"
169,Melon,0.30%,$35.87,"$7,045,876.53"
170,Ark,-0.26%,$0.4203,"$4,612,428.15"
171,xDai,-2.36%,$14.19,"$4,549,397.42"
172,Hive,-1.12%,$0.1249,"$4,292,382.98"
173,Stratis,-0.46%,$0.5191,"$2,502,094.65"
174,Fetch.ai,2.74%,$0.0701,"$6,789,922.44"
175,Energi,3.41%,$1.42,"$3,276,080.98"
176,Haven Protocol,-1.11%,$3.53,"$868,124.82"
177,The Midas Touch Gold,-1.17%,$0.006058,"$7,965,854.01"
178,Uquid Coin,-1.07%,$4.92,"$7,327,931.09"
179,Power Ledger,0.64%,$0.1139,"$3,874,245.98"
180,Syscoin,-0.63%,$0.07864,"$2,157,656.53"
181,Populous,-3.08%,$0.8527,"$3,265,078.18"
182,Loom Network,0.12%,$0.04506,"$11,909,632.64"
183,Travala.com,-0.34%,$0.9643,"$3,410,646.45"
184,LBRY Credits,0.93%,$0.089,"$4,768,156.21"
185,Firo,1.60%,$4.15,"$9,033,385.76"
186,ShareToken,-1.35%,$0.02045,"$2,080,682.11"
187,IRISnet,1.86%,$0.04786,"$8,171,591.85"
188,QuarkChain,-0.09%,$0.006188,"$4,601,240.43"
189,IoTeX,-0.30%,$0.007562,"$3,990,064.68"
190,Handshake,1.32%,$0.1229,"$3,420,626.75"
191,Nimiq,-1.71%,$0.005953,"$2,569,280.32"
192,AdEx Network,-1.80%,$0.366,"$3,406,598.23"
193,Aion,0.66%,$0.08553,"$3,634,113.57"
194,Cortex,-1.78%,$0.1667,"$44,328,432.99"
195,MCO,-1.47%,$2.60,"$28,187,347.80"
196,Elastos,-2.10%,$2.37,"$5,991,352.72"
197,MXC,-3.85%,$0.01629,"$10,260,138.10"
198,DIA,0.20%,$1.46,"$17,027,678.36"
199,STASIS EURO,-0.04%,$1.22,"$1,161,717.91"
200,Ultra,2.47%,$0.1356,"$618,928.80"
17,January,2021
1,Bitcoin,-1.24%,"$35,791.28","$52,359,854,336.21"
2,Ethereum,-1.23%,"$1,230.17","$29,258,032,819.26"
3,Tether,0.01%,$1.00,"$91,132,972,168.09"
4,Polkadot,0.14%,$16.98,"$6,091,648,732.20"
5,XRP,-0.36%,$0.2774,"$3,488,557,208.01"
6,Cardano,-1.53%,$0.3799,"$5,617,481,333.52"
7,Litecoin,-1.00%,$142.43,"$6,098,835,632.65"
8,Chainlink,2.37%,$23.17,"$5,027,606,263.36"
9,Bitcoin Cash,-1.14%,$478.77,"$4,635,690,837.55"
10,Stellar,-0.99%,$0.3036,"$1,884,116,937.06"
11,Binance Coin,-0.63%,$45.68,"$664,875,512.99"
12,USD Coin,0.00%,$1.00,"$1,463,914,697.09"
13,Wrapped Bitcoin,-1.14%,"$35,895.35","$95,244,127.24"
14,Bitcoin SV,-0.71%,$199.10,"$890,529,795.05"
15,Monero,-1.32%,$159.58,"$1,232,527,498.01"
16,EOS,-0.64%,$2.76,"$2,327,878,543.31"
17,Uniswap,-1.39%,$8.66,"$2,577,838,948.88"
18,Aave,-1.72%,$186.26,"$631,950,249.78"
19,Tezos,-1.82%,$2.97,"$500,305,741.25"
20,TRON,-0.32%,$0.03014,"$1,011,001,495.71"
21,NEM,-0.18%,$0.2235,"$105,830,209.05"
22,THETA,-1.60%,$2.00,"$101,351,793.94"
23,Crypto.com Coin,0.24%,$0.08027,"$99,607,748.57"
24,Synthetix,-1.38%,$15.65,"$222,945,637.69"
25,Cosmos,-0.52%,$8.51,"$962,808,614.79"
26,VeChain,-1.02%,$0.02712,"$339,869,496.39"
27,Neo,-1.53%,$23.83,"$941,229,932.30"
28,Maker,-1.89%,"$1,440.74","$185,683,432.20"
29,Dai,-0.04%,$1.00,"$249,817,374.27"
30,UNUS SED LEO,-0.03%,$1.33,"$17,732,792.76"
31,Dash,-0.97%,$123.38,"$739,219,388.48"
32,IOTA,-0.83%,$0.435,"$45,209,516.36"
33,Dogecoin,-0.57%,$0.009067,"$254,487,988.63"
34,Binance USD,0.00%,$0.9998,"$1,881,385,651.42"
35,Celsius,-1.58%,$4.73,"$18,493,597.62"
36,Zcash,-1.08%,$101.52,"$1,222,667,638.84"
37,Filecoin,0.17%,$24.35,"$712,570,770.66"
38,yearn.finance,-1.82%,"$34,408.50","$790,738,027.12"
39,Huobi Token,-0.54%,$5.35,"$200,478,066.03"
40,Solana,-2.01%,$3.82,"$85,407,766.19"
41,Revain,-0.11%,$0.01169,"$7,457,308.86"
42,Avalanche,2.73%,$13.20,"$303,643,624.20"
43,Compound,-0.17%,$215.43,"$255,473,229.55"
44,FTX Token,-0.79%,$10.00,"$23,607,685.83"
45,SushiSwap,-0.78%,$7.05,"$741,985,641.56"
46,Ethereum Classic,-0.59%,$7.65,"$1,136,556,770.97"
47,Kusama,-1.56%,$102.57,"$181,633,031.34"
48,Zilliqa,-1.09%,$0.07329,"$160,591,493.74"
49,Waves,-0.15%,$7.38,"$283,209,341.11"
50,Algorand,2.68%,$0.5841,"$300,743,172.11"
51,Decred,-0.83%,$56.58,"$13,026,398.12"
52,The Graph,-3.28%,$0.5168,"$637,466,411.75"
53,Elrond,-0.87%,$37.45,"$48,539,016.67"
54,HedgeTrade,2.45%,$1.72,"$569,571.38"
55,UMA,-0.18%,$10.34,"$31,994,934.24"
56,Ren,-1.71%,$0.6196,"$209,764,078.70"
57,Ontology,-0.56%,$0.6702,"$234,116,638.05"
58,OMG Network,-0.48%,$3.67,"$406,344,509.20"
59,Loopring,3.42%,$0.4211,"$98,971,415.87"
60,NEAR Protocol,-0.22%,$2.51,"$119,153,078.44"
61,renBTC,-1.33%,"$35,821.21","$10,299,063.26"
62,Nano,-1.92%,$3.42,"$62,160,912.06"
